Top three musics for user UXrhIUpVcO were MF4HM3BJ0t, MPM4K470Dq, MR5PCh4EIx. (turnaround time: 664.0, execution time: 262.0, waiting time: 402.0, processed by server 0)
Top three musics for user UXrhIUpVcO were MF4HM3BJ0t, MPM4K470Dq, MR5PCh4EIx. (turnaround time: 756.0, execution time: 93.0, waiting time: 663.0, processed by server 0)
Top three musics for user U0BKjBfXda were M7Vm9RBrFB, MJ1tA4jNxY, MWtWRjZFH3. (turnaround time: 781.0, execution time: 407.0, waiting time: 374.0, processed by server 0)
Top three musics for user UinEU8nsmj were M88BUa8CMM, Mhfd7lbaat, MD5G5Qghig. (turnaround time: 813.0, execution time: 439.0, waiting time: 374.0, processed by server 0)
Top three musics for user UXrhIUpVcO were MF4HM3BJ0t, MPM4K470Dq, MR5PCh4EIx. (turnaround time: 834.0, execution time: 466.0, waiting time: 368.0, processed by server 0)
Top three musics for user UMbFogUYd0 were MgO8VQBmED, MkfHLoStWC, M5qmmghioh. (turnaround time: 863.0, execution time: 105.0, waiting time: 758.0, processed by server 0)
Top three musics for user UsEgvNeoHC were MZO5RTkjAR, MrgkYrTg9Q, M7Esb5k1kY. (turnaround time: 859.0, execution time: 82.0, waiting time: 777.0, processed by server 0)
Top three musics for user UNilFaCJDp were MQ6zb3lfQ5, MNi1NJSqlK, M48Yk8uas5. (turnaround time: 961.0, execution time: 75.0, waiting time: 886.0, processed by server 0)
Top three musics for user UXrhIUpVcO were MF4HM3BJ0t, MPM4K470Dq, MR5PCh4EIx. (turnaround time: 946.0, execution time: 107.0, waiting time: 839.0, processed by server 0)
Top three artists for genre Instrumental and user UNilFaCJDp were ADIKmhDhOY, AFzoPnPyWA, null. (turnaround time: 981.0, execution time: 99.0, waiting time: 882.0, processed by server 0)
Top three musics for user UMbFogUYd0 were MgO8VQBmED, MkfHLoStWC, M5qmmghioh. (turnaround time: 970.0, execution time: 113.0, waiting time: 857.0, processed by server 0)
Top three musics for user UNilFaCJDp were MQ6zb3lfQ5, MNi1NJSqlK, M48Yk8uas5. (turnaround time: 1035.0, execution time: 84.0, waiting time: 951.0, processed by server 0)
Top three musics for user UinEU8nsmj were M88BUa8CMM, Mhfd7lbaat, MD5G5Qghig. (turnaround time: 1038.0, execution time: 85.0, waiting time: 953.0, processed by server 0)
Top three musics for user UKyDYDDluS were MQNktcjnR9, MjVTbioj1Z, MSKuqvbem8. (turnaround time: 1054.0, execution time: 80.0, waiting time: 974.0, processed by server 0)
Top three musics for user U6ybltUcDG were MardXxni2h, MxnZMEeAkk, M5MUtCgdPV. (turnaround time: 1137.0, execution time: 75.0, waiting time: 1062.0, processed by server 0)
Top three musics for user UMbFogUYd0 were MgO8VQBmED, MkfHLoStWC, M5qmmghioh. (turnaround time: 1201.0, execution time: 88.0, waiting time: 1113.0, processed by server 0)
Top three musics for user UXrhIUpVcO were MF4HM3BJ0t, MPM4K470Dq, MR5PCh4EIx. (turnaround time: 1262.0, execution time: 83.0, waiting time: 1179.0, processed by server 0)
Top three musics for user U0BKjBfXda were M7Vm9RBrFB, MJ1tA4jNxY, MWtWRjZFH3. (turnaround time: 1398.0, execution time: 89.0, waiting time: 1309.0, processed by server 0)
Top three musics for user U6ybltUcDG were MardXxni2h, MxnZMEeAkk, M5MUtCgdPV. (turnaround time: 1458.0, execution time: 96.0, waiting time: 1362.0, processed by server 0)
Top three artists for genre Rock and user UNilFaCJDp were AKaDk1WKOQ, APqkESNTY7, null. (turnaround time: 1453.0, execution time: 93.0, waiting time: 1360.0, processed by server 0)
Top three musics for user UNilFaCJDp were MQ6zb3lfQ5, MNi1NJSqlK, M48Yk8uas5. (turnaround time: 1509.0, execution time: 148.0, waiting time: 1361.0, processed by server 0)
Top three musics for user U6ybltUcDG were MardXxni2h, MxnZMEeAkk, M5MUtCgdPV. (turnaround time: 1507.0, execution time: 147.0, waiting time: 1360.0, processed by server 0)
Top three musics for user UXrhIUpVcO were MF4HM3BJ0t, MPM4K470Dq, MR5PCh4EIx. (turnaround time: 1483.0, execution time: 76.0, waiting time: 1407.0, processed by server 0)
